t	x	y	theta	xref	yref
16.050000	-1.428512	0.655881	1.307985	-1.275733	0.951595
16.140000	-1.378124	0.751416	1.237794	-1.200428	1.044989
16.230000	-1.340152	0.818081	1.195018	-1.200428	1.044989
16.350000	-1.281699	0.913163	1.138420	-1.118302	1.132444
16.440000	-1.231843	0.980575	1.086508	-1.029822	1.213465
16.530000	-1.178470	1.043779	1.031598	-0.935489	1.287591
16.650000	-1.091011	1.139863	0.960378	-0.835841	1.354400
16.740000	-1.022347	1.205901	0.902644	-0.731444	1.413513
16.830000	-0.960016	1.256029	0.848039	-0.731444	1.413513
16.950000	-0.870871	1.318087	0.772669	-0.622891	1.464594
17.040000	-0.795714	1.362973	0.710911	-0.510798	1.507354
17.130000	-0.719455	1.403669	0.652961	-0.395802	1.541548
17.250000	-0.601062	1.454861	0.561532	-0.278558	1.566983
17.340000	-0.502720	1.488464	0.490878	-0.159731	1.583514
17.430000	-0.427374	1.514913	0.453664	-0.159731	1.583514
17.520000	-0.347925	1.536455	0.406759	-0.039996	1.591047
17.640000	-0.230780	1.559481	0.332634	0.079966	1.589539
17.730000	-0.146558	1.568156	0.273228	0.199474	1.579000
17.820000	-0.055745	1.573628	0.214966	0.317848	1.559488
17.940000	0.071112	1.571923	0.131748	0.434416	1.531115
18.030000	0.154007	1.567846	0.086307	0.434416	1.531115
18.120000	0.238682	1.556997	0.031173	0.548516	1.494041
18.240000	0.350927	1.536026	-0.040402	0.659499	1.448479
18.330000	0.434623	1.513896	-0.097686	0.766735	1.394685
18.420000	0.520196	1.486735	-0.154832	0.869614	1.332967
18.540000	0.652531	1.428024	-0.259932	0.967551	1.263675
18.630000	0.720172	1.398533	-0.294140	0.967551	1.263675
18.720000	0.795136	1.358324	-0.345013	1.037426	1.206970
18.840000	0.885396	1.303729	-0.406573	1.125395	1.125395
18.930000	0.950642	1.257146	-0.458916	1.206970	1.037426
19.020000	1.015996	1.187257	-0.558403	1.281687	0.943561
19.140000	1.118300	1.098974	-0.620447	1.349121	0.844335
19.230000	1.169416	1.050292	-0.650984	1.349121	0.844335
19.320000	1.224123	0.988297	-0.700214	1.408889	0.740311
19.410000	1.278266	0.918712	-0.756231	1.460652	0.632080
19.530000	1.338940	0.828440	-0.827463	1.504115	0.520258
19.620000	1.383775	0.751782	-0.885227	1.539031	0.405480
19.710000	1.425645	0.659875	-0.963313	1.565202	0.288398
19.830000	1.471315	0.557783	-1.023779	1.565202	0.288398
19.920000	1.500139	0.476802	-1.076898	1.582479	0.169677
